,ENSO,SOI,NAO,PDO,PNA,AMO
1951-01-01,25.24,2.5,-0.42,-1.54,-1.18,0.096
1951-02-01,25.71,1.5,0.35,-1.06,-2.11,-0.008
1951-03-01,26.9,-0.2,-1.47,-1.9,-1.09,0.006
1951-04-01,27.58,-0.5,-0.38,-0.36,0.47,0.162
1951-05-01,27.92,-1.1,-0.5,-0.25,1.19,0.166
1951-06-01,27.73,0.3,-1.35,-1.09,-0.54,0.283
1951-07-01,27.6,-1.7,1.39,0.7,-0.44,0.415
1951-08-01,27.02,-0.4,-0.41,-1.37,0.02,0.297
1951-09-01,27.23,-1.8,-1.18,-0.08,-0.08,0.243
1951-10-01,27.2,-1.6,2.54,-0.32,0.43,0.252
1951-11-01,27.25,-1.3,-0.54,-0.28,0.21,0.168
1951-12-01,26.91,-1.2,1.13,-1.68,-1.59,0.168
1952-01-01,26.67,-1.5,0.57,-2.01,-3.19,0.165
1952-02-01,26.74,-1.0,-1.38,-0.46,0.08,0.176
1952-03-01,27.17,0.9,-1.97,-0.63,-0.69,0.224
1952-04-01,27.8,-0.4,0.95,-1.05,0.89,0.184
1952-05-01,27.79,1.2,-0.99,-1.0,-0.79,0.174
1952-06-01,27.18,1.2,-0.1,-1.43,0.53,0.376
1952-07-01,26.53,0.8,-0.06,-1.25,-1.57,0.366
1952-08-01,26.3,0.1,-0.49,-0.6,0.77,0.397
1952-09-01,26.36,-0.4,-0.38,-0.89,0.4,0.355
1952-10-01,26.26,0.6,-0.28,-0.35,1.05,0.348
1952-11-01,25.92,0.0,-1.32,-0.76,0.77,0.244
1952-12-01,26.21,-2.0,-0.49,0.04,0.63,0.334
1953-01-01,26.74,0.5,-0.12,-0.57,0.18,0.258
1953-02-01,27.0,-0.8,-1.0,-0.07,1.04,0.178
1953-03-01,27.57,-0.3,-0.45,-1.12,-0.44,0.134
1953-04-01,28.04,0.3,-1.96,0.05,0.78,0.306
1953-05-01,28.28,-2.8,-0.56,0.43,1.14,0.335
1953-06-01,28.12,0.2,1.41,0.29,-1.6,0.268
1953-07-01,27.43,-0.0,0.43,0.74,0.27,0.337
1953-08-01,26.94,-2.0,-1.04,0.05,-1.15,0.251
1953-09-01,27.01,-2.1,-0.19,-0.63,-0.14,0.273
1953-10-01,26.87,0.1,1.95,-1.09,2.27,0.141
1953-11-01,26.88,-0.5,0.96,-0.03,1.57,0.237
1953-12-01,27.0,-0.8,-0.52,0.07,0.96,0.251
1954-01-01,26.98,1.1,-0.08,-1.32,-2.11,0.22
1954-02-01,27.03,-0.5,0.4,-1.61,-0.48,0.088
1954-03-01,26.9,0.4,-1.27,-0.52,-1.44,0.093
1954-04-01,26.64,1.1,1.31,-1.33,-2.86,-0.021
1954-05-01,27.12,0.8,-0.03,0.01,0.65,0.062
1954-06-01,26.8,0.2,0.06,0.97,0.09,0.092
1954-07-01,26.11,0.7,-0.57,0.43,-0.14,-0.052
1954-08-01,25.43,1.8,-2.57,0.08,-0.11,-0.022
1954-09-01,25.12,0.3,-0.28,-0.94,-0.04,-0.018
1954-10-01,25.23,0.4,1.16,0.52,0.99,-0.04
1954-11-01,25.57,0.2,0.29,0.72,1.38,-0.034
1954-12-01,25.26,2.3,0.55,-0.5,-0.82,-0.059
1955-01-01,25.61,-0.9,-2.65,0.2,-0.14,0.068
1955-02-01,25.81,3.1,-1.71,-1.52,-2.62,0.033
1955-03-01,26.22,1.1,-0.96,-1.26,-2.47,0.034
1955-04-01,26.6,-0.2,-0.6,-1.97,-0.24,0.088
1955-05-01,26.66,1.7,-0.26,-1.21,-0.42,0.169
1955-06-01,26.55,2.2,-0.8,-2.44,0.11,0.186
1955-07-01,26.15,2.6,1.78,-2.35,-1.32,0.261
1955-08-01,25.51,2.4,1.25,-2.25,-0.55,0.167
1955-09-01,25.28,2.2,0.46,-1.95,-0.22,0.195
1955-10-01,24.41,2.5,-1.09,-2.8,0.51,0.271
1955-11-01,24.25,2.0,-1.49,-3.08,-0.93,0.378
1955-12-01,24.57,1.6,0.07,-2.75,-2.37,0.249
1956-01-01,25.34,2.2,-0.76,-2.48,-2.34,0.179
1956-02-01,25.76,2.7,-1.71,-2.74,-1.69,0.087
1956-03-01,26.46,2.2,-0.46,-2.56,-0.97,0.006
1956-04-01,26.85,1.5,-1.3,-2.17,-0.17,0.056
1956-05-01,27.13,2.3,2.1,-1.41,-0.17,-0.066
1956-06-01,26.81,1.8,0.41,-1.7,-0.08,-0.272
1956-07-01,26.23,1.8,-0.72,-1.03,-1.28,-0.098
1956-08-01,25.68,2.0,-1.89,-1.16,-0.23,-0.106
1956-09-01,25.73,0.1,0.38,-0.71,0.42,-0.097
1956-10-01,25.75,2.9,1.47,-2.3,-2.16,-0.051
1956-11-01,25.56,0.2,0.4,-2.11,1.0,-0.095
1956-12-01,25.71,1.8,0.0,-1.28,-0.61,0.011
1957-01-01,26.04,1.0,0.71,-1.82,-2.18,-0.089
1957-02-01,26.54,-0.1,-0.32,-0.68,-1.89,-0.114
1957-03-01,27.46,0.3,-1.73,0.03,0.78,-0.027
1957-04-01,28.23,0.4,0.39,-0.58,-0.41,-0.082
1957-05-01,28.55,-1.1,-0.68,0.57,1.24,-0.129
1957-06-01,28.36,0.3,-0.42,1.76,0.24,-0.02
1957-07-01,28.17,0.4,-1.16,0.72,-0.11,0.032
1957-08-01,27.69,-0.8,-0.83,0.51,-0.99,0.194
1957-09-01,27.44,-1.5,-1.47,1.59,-0.22,0.213
1957-10-01,27.42,0.1,1.95,1.5,0.46,0.141
1957-11-01,27.62,-1.6,0.63,-0.32,0.49,0.076
1957-12-01,27.9,-0.5,0.02,-0.55,-0.73,0.071
1958-01-01,28.33,-3.1,-1.14,0.25,0.62,0.04
1958-02-01,28.24,-0.8,-1.64,0.62,0.36,0.18
1958-03-01,28.27,0.4,-2.46,0.25,0.18,0.336
1958-04-01,28.27,0.6,0.26,1.06,0.31,0.338
1958-05-01,28.31,-0.8,-0.17,1.28,0.66,0.193
1958-06-01,27.99,0.5,-1.08,1.33,1.48,0.213
1958-07-01,27.32,0.7,-1.69,0.89,0.74,0.156
1958-08-01,26.85,1.5,-2.13,1.06,2.13,0.152
1958-09-01,26.4,-0.5,0.08,0.29,-0.05,0.204
1958-10-01,26.45,0.1,0.68,0.01,0.34,0.143
1958-11-01,26.75,-0.7,1.59,-0.18,0.08,0.176
1958-12-01,26.62,-1.0,-0.74,0.86,0.35,0.211
1959-01-01,27.07,-1.5,-1.52,0.69,-1.54,0.091
1959-02-01,27.18,-2.3,0.33,-0.43,-1.23,0.106
1959-03-01,27.47,2.1,-0.56,-0.95,0.21,-0.036
1959-04-01,27.88,0.7,0.25,-0.02,-0.9,-0.013
1959-05-01,27.7,0.8,0.41,0.23,-0.3,-0.002
1959-06-01,27.37,-0.2,0.71,0.44,1.08,-0.068
1959-07-01,26.44,-0.4,0.77,-0.5,-0.45,-0.041
1959-08-01,26.09,-0.2,-0.05,-0.62,1.03,0.003
1959-09-01,25.92,0.0,1.0,-0.85,1.19,0.116
1959-10-01,26.24,0.8,1.48,0.52,0.23,0.103
1959-11-01,26.04,1.5,0.3,1.11,0.26,0.042
1959-12-01,26.18,1.5,0.32,0.06,0.36,0.1
1960-01-01,26.27,0.2,-2.01,0.3,-0.16,0.167
1960-02-01,26.29,0.2,-2.59,0.52,-0.22,0.207
1960-03-01,26.98,1.7,-0.93,-0.21,-0.69,0.079
1960-04-01,27.49,1.3,1.33,0.09,-0.07,0.088
1960-05-01,27.68,0.9,0.47,0.91,0.99,0.293
1960-06-01,27.24,0.2,0.1,0.64,1.2,0.31
1960-07-01,26.88,0.8,0.38,-0.27,1.11,0.261
1960-08-01,26.7,1.3,-1.93,-0.38,1.85,0.326
1960-09-01,26.44,1.1,0.53,-0.94,-0.01,0.201
1960-10-01,26.22,0.2,-1.37,0.09,0.48,0.287
1960-11-01,26.26,0.9,-0.67,-0.23,-0.52,0.241
1960-12-01,26.22,1.3,-0.03,0.17,1.15,0.128
1961-01-01,26.23,-0.4,-0.03,1.18,1.16,0.051
1961-02-01,26.56,1.5,0.07,0.43,0.17,0.071
1961-03-01,26.94,-3.0,0.17,0.09,0.28,0.139
1961-04-01,27.36,1.3,-1.83,0.34,-1.14,0.217
1961-05-01,27.75,0.5,-0.28,-0.06,-0.25,0.184
1961-06-01,27.67,0.2,1.17,-0.61,1.84,0.023
1961-07-01,26.89,0.4,-0.36,-1.22,-0.52,-0.029
1961-08-01,26.19,0.2,1.03,-1.13,0.47,0.026
1961-09-01,25.78,0.1,1.36,-2.01,1.1,-0.007
1961-10-01,25.71,-0.5,1.07,-2.28,-1.94,0.019
1961-11-01,26.07,0.9,-0.79,-1.85,-0.4,0.057
1961-12-01,25.97,2.5,-1.46,-2.69,-1.54,0.203
1962-01-01,25.96,3.3,0.2,-1.29,-0.74,0.139
1962-02-01,26.19,-0.5,0.18,-1.15,-0.54,0.142
1962-03-01,26.8,0.2,-2.99,-1.42,-0.71,0.155
1962-04-01,27.13,0.3,0.93,-0.8,-1.5,0.077
1962-05-01,27.05,1.8,-0.04,-1.22,-1.11,0.013
1962-06-01,27.08,1.2,0.47,-1.62,-0.97,-0.081
1962-07-01,26.76,0.1,-2.43,-1.46,-0.36,-0.018
1962-08-01,26.33,1.0,0.05,-0.48,0.57,-0.073
1962-09-01,25.94,0.7,-0.21,-1.58,-0.83,-0.006
1962-10-01,25.97,1.6,0.96,-1.55,1.33,0.055
1962-11-01,25.75,0.5,-0.38,-0.37,0.53,0.036
1962-12-01,25.67,0.3,-1.31,-0.96,-0.38,0.18
1963-01-01,25.77,1.7,-2.98,-0.33,0.09,0.147
1963-02-01,26.22,0.9,-1.53,-0.16,0.79,0.155
1963-03-01,27.18,1.9,-0.85,-0.54,-2.04,0.123
1963-04-01,27.78,1.3,-1.61,-0.41,-0.79,0.093
1963-05-01,27.63,0.6,2.05,-0.65,-0.95,-0.095
1963-06-01,27.62,-0.8,-0.13,-0.88,0.5,-0.058
1963-07-01,27.78,-0.2,-0.74,-1.0,-1.1,-0.046
1963-08-01,27.48,0.0,-0.95,-1.03,-1.01,-0.084
1963-09-01,27.4,-1.0,1.89,0.45,0.87,-0.213
1963-10-01,27.36,-2.0,1.53,-0.52,0.93,-0.082
1963-11-01,27.47,-1.4,-1.47,-2.08,-0.31,-0.068
1963-12-01,27.62,-2.0,-1.87,-1.08,1.46,-0.071
1964-01-01,27.34,-0.6,-1.62,0.01,-0.44,-0.086
1964-02-01,27.13,0.1,-2.06,-0.21,1.36,0.01
1964-03-01,27.02,1.9,-1.66,-0.87,-1.31,0.028
1964-04-01,26.95,1.8,0.25,-1.03,-1.3,-0.157
1964-05-01,26.82,0.4,0.53,-1.91,-2.27,0.03
1964-06-01,26.59,1.2,1.61,-0.32,0.27,-0.007
1964-07-01,26.33,0.9,1.92,-0.51,0.2,-0.155
1964-08-01,25.6,2.5,-2.4,-1.03,0.83,-0.245
1964-09-01,25.32,2.1,0.34,-0.68,0.92,-0.231
1964-10-01,25.37,2.2,1.32,-0.37,0.8,-0.282
1964-11-01,25.26,0.3,-0.14,-0.8,-0.78,-0.177
1964-12-01,25.23,-0.5,-0.23,-1.52,-2.03,-0.132
1965-01-01,25.66,-0.7,-0.65,-1.24,-0.92,-0.21
1965-02-01,26.19,0.7,-2.2,-1.16,-1.03,-0.188
1965-03-01,26.94,1.2,-1.99,0.04,-0.8,-0.089
1965-04-01,27.38,-0.9,0.64,0.62,-1.07,-0.108
1965-05-01,27.99,0.3,-0.52,-0.66,-0.42,-0.11
1965-06-01,28.09,-0.9,0.6,-0.8,1.89,-0.138
1965-07-01,27.9,-3.0,0.35,-0.47,-1.26,-0.199
1965-08-01,27.97,-1.1,0.45,0.2,0.32,-0.221
1965-09-01,28.01,-2.2,0.51,0.59,0.36,-0.233
1965-10-01,28.17,-1.5,0.92,-0.36,1.42,-0.259
1965-11-01,28.12,-2.4,-1.88,-0.59,-0.81,-0.288
1965-12-01,27.96,0.3,1.18,0.06,-1.56,-0.135
1966-01-01,27.67,-2.2,-2.54,-0.82,-0.15,-0.087
1966-02-01,27.55,-0.4,-2.02,-0.03,-2.05,-0.001
1966-03-01,28.21,-1.5,0.18,-1.29,0.43,-0.021
1966-04-01,28.16,-0.3,-0.96,0.06,-0.54,0.032
1966-05-01,27.55,-0.7,0.25,-0.53,-0.15,-0.01
1966-06-01,27.64,0.5,1.37,0.16,0.1,-0.057
1966-07-01,27.33,0.1,0.35,0.26,-1.18,-0.067
1966-08-01,26.48,1.1,-2.39,-0.35,1.26,-0.055
1966-09-01,26.27,-0.4,-0.29,-0.33,0.63,-0.012
1966-10-01,26.22,-0.2,-0.23,-1.17,-0.61,0.002
1966-11-01,26.23,-0.0,-0.18,-1.15,-1.96,-0.009
1966-12-01,26.03,-0.6,0.58,-0.32,-0.21,0.068
1967-01-01,25.88,2.8,-1.55,-0.2,-1.16,0.07
1967-02-01,26.11,2.8,-0.23,-0.18,-0.2,0.076
1967-03-01,26.5,2.0,1.18,-1.2,-2.25,-0.046
1967-04-01,26.74,-0.1,0.05,-0.89,-1.91,-0.027
1967-05-01,27.35,-0.0,-0.87,-1.24,-0.8,-0.199
1967-06-01,27.47,1.1,1.72,-1.16,-0.33,-0.273
1967-07-01,26.97,0.3,0.44,-0.89,-1.24,-0.242
1967-08-01,26.44,1.2,1.73,-1.24,-0.35,-0.177
1967-09-01,25.86,0.8,1.05,-0.72,0.11,-0.109
1967-10-01,25.97,0.1,0.59,-0.64,1.1,-0.112
1967-11-01,26.08,-0.7,0.5,-0.05,-0.35,-0.246
1967-12-01,25.95,-0.9,-0.51,-0.4,-1.12,-0.165
1968-01-01,25.69,0.9,-0.36,-0.95,-1.78,-0.259
1968-02-01,25.68,2.1,-1.91,-0.4,1.11,-0.21
1968-03-01,26.33,0.2,0.02,-0.31,0.13,-0.221
1968-04-01,27.1,0.0,-1.32,-1.03,-1.11,-0.168
1968-05-01,27.19,2.1,-1.58,-0.53,0.23,-0.136
1968-06-01,27.88,1.8,0.64,-0.35,-0.08,-0.275
1968-07-01,27.58,1.1,-0.77,0.53,-0.04,-0.242
1968-08-01,27.01,0.4,-0.97,0.19,1.3,-0.226
1968-09-01,26.72,-0.4,-1.73,0.06,-0.87,-0.162
1968-10-01,26.75,-0.1,-1.99,-0.34,0.45,-0.126
1968-11-01,27.2,-0.6,-1.11,-0.44,0.83,-0.12
1968-12-01,27.27,0.3,-1.39,-1.27,-1.74,-0.139
1969-01-01,27.5,-2.4,-1.48,-1.26,-2.96,-0.075
1969-02-01,27.86,-0.9,-2.2,-0.95,-1.97,0.092
1969-03-01,27.82,0.7,-2.04,-0.5,0.47,0.194
1969-04-01,28.13,-0.6,1.52,-0.44,0.48,0.136
1969-05-01,28.29,-0.4,0.56,-0.2,1.02,-0.002
1969-06-01,27.69,0.3,0.86,0.89,2.11,0.016
1969-07-01,27.08,-0.8,0.6,0.1,0.51,0.081
1969-08-01,27.02,-0.2,-1.99,-0.81,-0.69,-0.114
1969-09-01,27.15,-1.6,2.17,-0.66,1.31,-0.12
1969-10-01,27.34,-1.5,1.23,1.12,0.55,-0.198
1969-11-01,27.1,-0.1,-1.14,0.15,0.13,-0.137
1969-12-01,26.98,0.7,-0.35,1.38,1.53,-0.044
1970-01-01,26.83,-1.9,-2.26,0.61,0.12,-0.023
1970-02-01,26.95,-1.7,0.28,0.43,1.01,-0.061
1970-03-01,27.14,1.0,-1.41,1.33,0.49,0.006
1970-04-01,27.74,-0.1,-1.56,0.43,-0.66,0.007
1970-05-01,27.63,0.6,1.11,-0.49,-0.5,-0.059
1970-06-01,27.04,1.6,1.87,0.06,0.23,-0.195
1970-07-01,26.21,-0.6,0.13,-0.68,0.74,-0.213
1970-08-01,25.6,1.0,0.0,-1.63,-0.6,-0.153
1970-09-01,25.65,1.9,0.06,-1.67,-0.39,-0.151
1970-10-01,25.6,1.7,-0.49,-1.39,-0.95,-0.209
1970-11-01,25.57,2.6,-0.76,-0.8,-1.15,-0.253
1970-12-01,25.27,3.2,-1.2,-0.97,-1.09,-0.222
1971-01-01,24.81,0.6,-1.82,-1.9,-2.43,-0.259
1971-02-01,25.18,3.3,-0.17,-1.74,-0.16,-0.305
1971-03-01,25.92,3.8,-1.28,-1.68,-0.28,-0.323
1971-04-01,26.63,2.8,-0.41,-1.59,0.23,-0.426
1971-05-01,26.95,1.4,0.51,-1.55,1.09,-0.339
1971-06-01,26.6,0.7,-1.28,-1.55,0.51,-0.376
1971-07-01,26.13,0.4,0.27,-2.2,-1.74,-0.362
1971-08-01,25.75,2.5,1.87,-0.15,-0.81,-0.448
1971-09-01,25.72,2.3,0.53,0.21,0.15,-0.379
1971-10-01,25.47,2.8,1.14,-0.22,-1.35,-0.248
1971-11-01,25.56,0.9,-0.34,-1.25,-0.26,-0.256
1971-12-01,25.37,0.4,0.47,-1.87,-1.76,-0.321
1972-01-01,25.62,0.8,-0.19,-1.99,-2.46,-0.331
1972-02-01,26.3,1.8,-0.08,-1.83,-2.27,-0.393
1972-03-01,27.09,1.1,0.35,-2.09,-0.1,-0.452
1972-04-01,27.89,-0.2,-0.38,-1.65,-1.95,-0.339
1972-05-01,28.32,-2.6,0.93,-1.57,0.21,-0.482
1972-06-01,28.18,-0.9,1.19,-1.87,-0.15,-0.501
1972-07-01,28.14,-2.4,0.21,-0.83,-1.13,-0.388
1972-08-01,27.95,-0.8,1.57,0.25,-0.04,-0.396
1972-09-01,27.95,-2.2,0.03,0.17,0.13,-0.316
1972-10-01,28.26,-1.5,1.7,0.11,-1.49,-0.299
1972-11-01,28.61,-0.6,0.43,0.57,0.53,-0.29
1972-12-01,28.69,-2.1,0.09,-0.33,-0.86,-0.364
1973-01-01,28.34,-0.5,-0.46,-0.46,-0.88,-0.387
1973-02-01,27.95,-2.3,0.52,-0.61,-0.14,-0.406
1973-03-01,27.55,1.2,-0.09,-0.5,0.53,-0.357
1973-04-01,27.24,0.1,-0.73,-0.69,0.11,-0.277
1973-05-01,26.96,0.7,-0.36,-0.76,0.67,-0.182
